summariser,condition,task_name,scorer,count,mean,std,median,min,max,std_error,ci_lower,ci_upper
claude-3-7-sonnet-20250219,lens_np,task_2,deepseek-reasoner,9,6.333,2.0,6.0,3,9,0.667,5.027,7.64
claude-3-7-sonnet-20250219,lens_np,task_2,o3-mini-2025-01-31,9,4.556,1.014,5.0,3,6,0.338,3.893,5.218
claude-3-7-sonnet-20250219,lens_np,task_3,claude-3-7-sonnet-20250219,9,4.889,1.167,4.0,4,7,0.389,4.127,5.651
claude-3-7-sonnet-20250219,lens_np,task_3,deepseek-reasoner,9,6.778,0.441,7.0,6,7,0.147,6.49,7.066
claude-3-7-sonnet-20250219,lens_np,task_3,o3-mini-2025-01-31,9,6.222,1.716,6.0,4,9,0.572,5.101,7.343
claude-3-7-sonnet-20250219,lens_np_global,task_1,claude-3-7-sonnet-20250219,9,3.444,0.527,3.0,3,4,0.176,3.1,3.789
claude-3-7-sonnet-20250219,lens_np_global,task_1,deepseek-reasoner,9,7.444,0.726,8.0,6,8,0.242,6.97,7.919
claude-3-7-sonnet-20250219,lens_np_global,task_1,o3-mini-2025-01-31,9,7.444,1.236,8.0,6,9,0.412,6.637,8.252
claude-3-7-sonnet-20250219,lens_np_global,task_2,claude-3-7-sonnet-20250219,9,3.889,0.782,4.0,3,5,0.261,3.378,4.4
claude-3-7-sonnet-20250219,lens_np_global,task_2,deepseek-reasoner,9,6.222,0.667,6.0,6,8,0.222,5.787,6.658
claude-3-7-sonnet-20250219,lens_np_global,task_2,o3-mini-2025-01-31,9,6.0,1.414,6.0,4,8,0.471,5.076,6.924
claude-3-7-sonnet-20250219,lens_np_global,task_3,claude-3-7-sonnet-20250219,9,4.778,1.093,5.0,3,6,0.364,4.064,5.492
claude-3-7-sonnet-20250219,lens_np_global,task_3,deepseek-reasoner,9,6.444,0.527,6.0,6,7,0.176,6.1,6.789
claude-3-7-sonnet-20250219,lens_np_global,task_3,o3-mini-2025-01-31,9,6.889,1.269,7.0,5,8,0.423,6.06,7.718
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,claude-3-7-sonnet-20250219,9,3.222,0.441,3.0,3,4,0.147,2.934,3.51
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,deepseek-reasoner,9,7.444,0.527,7.0,7,8,0.176,7.1,7.789
claude-3-7-sonnet-20250219,lens_np_global_local,task_1,o3-mini-2025-01-31,9,7.0,1.581,8.0,5,9,0.527,5.967,8.033
claude-3-7-sonnet-20250219,lens_np_global_local,task_2,claude-3-7-sonnet-20250219,9,3.444,0.726,3.0,3,5,0.242,2.97,3.919
claude-3-7-sonnet-20250219,lens_np_global_local,task_2,deepseek-reasoner,9,6.0,1.118,6.0,4,8,0.373,5.27,6.73
claude-3-7-sonnet-20250219,lens_np_global_local,task_2,o3-mini-2025-01-31,9,5.111,1.616,5.0,3,8,0.539,4.055,6.167
claude-3-7-sonnet-20250219,lens_np_global_local,task_3,claude-3-7-sonnet-20250219,9,3.444,0.726,3.0,3,5,0.242,2.97,3.919
claude-3-7-sonnet-20250219,lens_np_global_local,task_3,deepseek-reasoner,9,6.222,0.972,6.0,4,7,0.324,5.587,6.857
claude-3-7-sonnet-20250219,lens_np_global_local,task_3,o3-mini-2025-01-31,9,7.111,1.616,7.0,5,10,0.539,6.055,8.167
claude-3-7-sonnet-20250219,lens_np_local,task_1,claude-3-7-sonnet-20250219,9,3.778,0.667,4.0,3,5,0.222,3.342,4.213
claude-3-7-sonnet-20250219,lens_np_local,task_1,deepseek-reasoner,9,6.889,1.833,7.0,3,9,0.611,5.691,8.087
claude-3-7-sonnet-20250219,lens_np_local,task_1,o3-mini-2025-01-31,9,5.667,0.866,6.0,4,7,0.289,5.101,6.232
claude-3-7-sonnet-20250219,lens_np_local,task_2,claude-3-7-sonnet-20250219,9,5.778,0.441,6.0,5,6,0.147,5.49,6.066
claude-3-7-sonnet-20250219,lens_np_local,task_2,deepseek-reasoner,9,6.667,0.707,7.0,6,8,0.236,6.205,7.129
claude-3-7-sonnet-20250219,lens_np_local,task_2,o3-mini-2025-01-31,9,4.778,0.972,5.0,3,6,0.324,4.143,5.413
claude-3-7-sonnet-20250219,lens_np_local,task_3,claude-3-7-sonnet-20250219,9,5.0,1.118,5.0,3,6,0.373,4.27,5.73
claude-3-7-sonnet-20250219,lens_np_local,task_3,deepseek-reasoner,9,6.778,0.667,7.0,6,8,0.222,6.342,7.213
claude-3-7-sonnet-20250219,lens_np_local,task_3,o3-mini-2025-01-31,9,5.667,1.225,5.0,4,8,0.408,4.867,6.467
claude-3-7-sonnet-20250219,lens_single_cm,task_1,claude-3-7-sonnet-20250219,9,3.667,0.866,3.0,3,5,0.289,3.101,4.232
claude-3-7-sonnet-20250219,lens_single_cm,task_1,deepseek-reasoner,9,7.889,0.928,8.0,7,9,0.309,7.283,8.495
claude-3-7-sonnet-20250219,lens_single_cm,task_1,o3-mini-2025-01-31,9,7.556,0.726,8.0,6,8,0.242,7.081,8.03
claude-3-7-sonnet-20250219,lens_single_cm,task_2,claude-3-7-sonnet-20250219,9,4.444,1.667,5.0,2,6,0.556,3.356,5.533
claude-3-7-sonnet-20250219,lens_single_cm,task_2,deepseek-reasoner,9,5.889,1.269,6.0,3,7,0.423,5.06,6.718
claude-3-7-sonnet-20250219,lens_single_cm,task_2,o3-mini-2025-01-31,9,6.0,1.658,6.0,4,8,0.553,4.917,7.083
claude-3-7-sonnet-20250219,lens_single_cm,task_3,claude-3-7-sonnet-20250219,9,4.444,1.74,5.0,2,6,0.58,3.308,5.581
claude-3-7-sonnet-20250219,lens_single_cm,task_3,deepseek-reasoner,9,6.778,1.093,7.0,5,8,0.364,6.064,7.492
claude-3-7-sonnet-20250219,lens_single_cm,task_3,o3-mini-2025-01-31,9,7.889,1.453,8.0,5,10,0.484,6.94,8.838
claude-3-7-sonnet-20250219,lens_two_cm,task_1,claude-3-7-sonnet-20250219,9,3.778,1.563,4.0,2,6,0.521,2.756,4.799
claude-3-7-sonnet-20250219,lens_two_cm,task_1,deepseek-reasoner,9,7.444,0.527,7.0,7,8,0.176,7.1,7.789
claude-3-7-sonnet-20250219,lens_two_cm,task_1,o3-mini-2025-01-31,9,6.556,1.13,7.0,5,8,0.377,5.817,7.294
claude-3-7-sonnet-20250219,lens_two_cm,task_2,claude-3-7-sonnet-20250219,9,5.111,1.691,6.0,3,7,0.564,4.006,6.216
claude-3-7-sonnet-20250219,lens_two_cm,task_2,deepseek-reasoner,9,6.111,0.333,6.0,6,7,0.111,5.893,6.329
claude-3-7-sonnet-20250219,lens_two_cm,task_2,o3-mini-2025-01-31,9,4.556,1.333,4.0,3,7,0.444,3.684,5.427
claude-3-7-sonnet-20250219,lens_two_cm,task_3,claude-3-7-sonnet-20250219,9,5.889,2.147,5.0,4,9,0.716,4.486,7.292
claude-3-7-sonnet-20250219,lens_two_cm,task_3,deepseek-reasoner,9,5.889,0.782,6.0,5,7,0.261,5.378,6.4
claude-3-7-sonnet-20250219,lens_two_cm,task_3,o3-mini-2025-01-31,9,5.444,0.882,5.0,4,7,0.294,4.868,6.021
claude-3-7-sonnet-20250219,rm_ap,task_1,claude-3-7-sonnet-20250219,9,5.222,1.302,6.0,3,7,0.434,4.372,6.073
claude-3-7-sonnet-20250219,rm_ap,task_1,deepseek-reasoner,9,7.889,0.782,8.0,7,9,0.261,7.378,8.4
claude-3-7-sonnet-20250219,rm_ap,task_1,o3-mini-2025-01-31,9,5.444,1.236,6.0,4,7,0.412,4.637,6.252
claude-3-7-sonnet-20250219,rm_ap,task_2,claude-3-7-sonnet-20250219,9,7.889,1.269,8.0,6,9,0.423,7.06,8.718
claude-3-7-sonnet-20250219,rm_ap,task_2,deepseek-reasoner,9,7.889,0.601,8.0,7,9,0.2,7.496,8.281
claude-3-7-sonnet-20250219,rm_ap,task_2,o3-mini-2025-01-31,9,6.556,1.333,7.0,5,8,0.444,5.684,7.427
claude-3-7-sonnet-20250219,rm_ap,task_3,claude-3-7-sonnet-20250219,9,7.556,0.726,7.0,7,9,0.242,7.081,8.03
claude-3-7-sonnet-20250219,rm_ap,task_3,deepseek-reasoner,9,8.222,0.441,8.0,8,9,0.147,7.934,8.51
claude-3-7-sonnet-20250219,rm_ap,task_3,o3-mini-2025-01-31,9,5.444,1.667,5.0,3,8,0.556,4.356,6.533
claude-3-7-sonnet-20250219,rm_global,task_1,claude-3-7-sonnet-20250219,9,2.778,0.441,3.0,2,3,0.147,2.49,3.066
claude-3-7-sonnet-20250219,rm_global,task_1,deepseek-reasoner,9,8.0,0.866,8.0,7,9,0.289,7.434,8.566
claude-3-7-sonnet-20250219,rm_global,task_1,o3-mini-2025-01-31,9,7.333,1.414,8.0,4,9,0.471,6.409,8.257
claude-3-7-sonnet-20250219,rm_global,task_2,claude-3-7-sonnet-20250219,9,3.0,0.0,3.0,3,3,0.0,3.0,3.0
claude-3-7-sonnet-20250219,rm_global,task_2,deepseek-reasoner,9,6.222,0.667,6.0,5,7,0.222,5.787,6.658
claude-3-7-sonnet-20250219,rm_global,task_2,o3-mini-2025-01-31,9,5.0,1.5,6.0,3,7,0.5,4.02,5.98
claude-3-7-sonnet-20250219,rm_global,task_3,claude-3-7-sonnet-20250219,9,3.0,0.0,3.0,3,3,0.0,3.0,3.0
claude-3-7-sonnet-20250219,rm_global,task_3,deepseek-reasoner,9,6.556,0.726,6.0,6,8,0.242,6.081,7.03
claude-3-7-sonnet-20250219,rm_global,task_3,o3-mini-2025-01-31,9,5.667,1.225,6.0,4,8,0.408,4.867,6.467
claude-3-7-sonnet-20250219,rm_global_local,task_1,claude-3-7-sonnet-20250219,9,3.0,0.0,3.0,3,3,0.0,3.0,3.0
claude-3-7-sonnet-20250219,rm_global_local,task_1,deepseek-reasoner,9,7.0,1.414,7.0,4,9,0.471,6.076,7.924
claude-3-7-sonnet-20250219,rm_global_local,task_1,o3-mini-2025-01-31,9,6.444,1.878,7.0,3,8,0.626,5.217,7.672
claude-3-7-sonnet-20250219,rm_global_local,task_2,claude-3-7-sonnet-20250219,9,3.0,0.0,3.0,3,3,0.0,3.0,3.0
claude-3-7-sonnet-20250219,rm_global_local,task_2,deepseek-reasoner,9,5.556,1.236,6.0,4,7,0.412,4.748,6.363
claude-3-7-sonnet-20250219,rm_global_local,task_2,o3-mini-2025-01-31,9,5.333,0.866,5.0,4,7,0.289,4.768,5.899
claude-3-7-sonnet-20250219,rm_global_local,task_3,claude-3-7-sonnet-20250219,9,3.333,0.5,3.0,3,4,0.167,3.007,3.66
claude-3-7-sonnet-20250219,rm_global_local,task_3,deepseek-reasoner,9,6.444,0.527,6.0,6,7,0.176,6.1,6.789
claude-3-7-sonnet-20250219,rm_global_local,task_3,o3-mini-2025-01-31,9,7.0,1.0,7.0,5,8,0.333,6.347,7.653
claude-3-7-sonnet-20250219,rm_np,task_1,claude-3-7-sonnet-20250219,9,4.778,0.972,4.0,4,6,0.324,4.143,5.413
claude-3-7-sonnet-20250219,rm_np,task_1,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
claude-3-7-sonnet-20250219,rm_np,task_1,o3-mini-2025-01-31,9,5.111,2.028,4.0,3,8,0.676,3.786,6.436
claude-3-7-sonnet-20250219,rm_np,task_2,claude-3-7-sonnet-20250219,9,6.667,1.414,7.0,5,8,0.471,5.743,7.591
claude-3-7-sonnet-20250219,rm_np,task_2,deepseek-reasoner,9,8.556,0.726,9.0,7,9,0.242,8.081,9.03
claude-3-7-sonnet-20250219,rm_np,task_2,o3-mini-2025-01-31,9,5.667,1.803,6.0,3,8,0.601,4.489,6.844
claude-3-7-sonnet-20250219,rm_np,task_3,claude-3-7-sonnet-20250219,9,7.222,1.986,8.0,4,9,0.662,5.925,8.52
claude-3-7-sonnet-20250219,rm_np,task_3,deepseek-reasoner,9,8.111,0.782,8.0,7,9,0.261,7.6,8.622
claude-3-7-sonnet-20250219,rm_np,task_3,o3-mini-2025-01-31,9,5.444,2.128,5.0,3,8,0.709,4.054,6.835
deepseek-reasoner,lens_ap,task_1,claude-3-7-sonnet-20250219,9,4.556,1.424,4.0,3,6,0.475,3.625,5.486
deepseek-reasoner,lens_ap,task_1,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_ap,task_1,o3-mini-2025-01-31,9,7.111,1.269,8.0,5,8,0.423,6.282,7.94
deepseek-reasoner,lens_ap,task_2,claude-3-7-sonnet-20250219,9,7.0,0.866,7.0,6,8,0.289,6.434,7.566
deepseek-reasoner,lens_ap,task_2,deepseek-reasoner,9,8.111,1.364,9.0,6,9,0.455,7.22,9.002
deepseek-reasoner,lens_ap,task_2,o3-mini-2025-01-31,9,5.222,1.394,5.0,3,7,0.465,4.311,6.133
deepseek-reasoner,lens_ap,task_3,claude-3-7-sonnet-20250219,9,6.778,0.833,7.0,6,8,0.278,6.233,7.322
deepseek-reasoner,lens_ap,task_3,deepseek-reasoner,9,8.333,0.866,9.0,7,9,0.289,7.768,8.899
deepseek-reasoner,lens_ap,task_3,o3-mini-2025-01-31,9,6.444,1.13,6.0,5,8,0.377,5.706,7.183
deepseek-reasoner,lens_ap_global,task_1,claude-3-7-sonnet-20250219,9,7.667,1.323,8.0,6,9,0.441,6.802,8.531
deepseek-reasoner,lens_ap_global,task_1,deepseek-reasoner,9,8.556,0.882,9.0,7,9,0.294,7.979,9.132
deepseek-reasoner,lens_ap_global,task_1,o3-mini-2025-01-31,9,7.222,1.787,8.0,4,9,0.596,6.055,8.39
deepseek-reasoner,lens_ap_global,task_2,claude-3-7-sonnet-20250219,9,8.556,0.726,9.0,7,9,0.242,8.081,9.03
deepseek-reasoner,lens_ap_global,task_2,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap_global,task_2,o3-mini-2025-01-31,9,6.778,1.716,7.0,4,9,0.572,5.657,7.899
deepseek-reasoner,lens_ap_global,task_3,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap_global,task_3,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_ap_global,task_3,o3-mini-2025-01-31,9,7.556,1.014,8.0,5,8,0.338,6.893,8.218
deepseek-reasoner,lens_ap_global_local,task_1,claude-3-7-sonnet-20250219,9,8.333,0.866,9.0,7,9,0.289,7.768,8.899
deepseek-reasoner,lens_ap_global_local,task_1,deepseek-reasoner,9,7.889,1.833,9.0,4,9,0.611,6.691,9.087
deepseek-reasoner,lens_ap_global_local,task_1,o3-mini-2025-01-31,9,7.222,2.774,8.0,3,10,0.925,5.41,9.034
deepseek-reasoner,lens_ap_global_local,task_2,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_ap_global_local,task_2,deepseek-reasoner,9,8.111,1.054,8.0,6,9,0.351,7.422,8.8
deepseek-reasoner,lens_ap_global_local,task_2,o3-mini-2025-01-31,9,6.556,2.963,7.0,3,10,0.988,4.62,8.491
deepseek-reasoner,lens_ap_global_local,task_3,claude-3-7-sonnet-20250219,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_ap_global_local,task_3,deepseek-reasoner,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_ap_global_local,task_3,o3-mini-2025-01-31,9,7.111,2.369,8.0,4,9,0.79,5.564,8.659
deepseek-reasoner,lens_ap_local,task_1,claude-3-7-sonnet-20250219,9,7.667,1.0,8.0,6,9,0.333,7.013,8.32
deepseek-reasoner,lens_ap_local,task_1,deepseek-reasoner,9,8.667,0.707,9.0,7,9,0.236,8.205,9.129
deepseek-reasoner,lens_ap_local,task_1,o3-mini-2025-01-31,9,7.556,1.014,8.0,6,9,0.338,6.893,8.218
deepseek-reasoner,lens_ap_local,task_2,claude-3-7-sonnet-20250219,9,5.0,2.291,4.0,3,8,0.764,3.503,6.497
deepseek-reasoner,lens_ap_local,task_2,deepseek-reasoner,9,8.111,0.782,8.0,7,9,0.261,7.6,8.622
deepseek-reasoner,lens_ap_local,task_2,o3-mini-2025-01-31,9,7.0,1.5,7.0,4,9,0.5,6.02,7.98
deepseek-reasoner,lens_ap_local,task_3,claude-3-7-sonnet-20250219,9,6.778,1.986,7.0,4,9,0.662,5.48,8.075
deepseek-reasoner,lens_ap_local,task_3,deepseek-reasoner,9,8.556,0.527,9.0,8,9,0.176,8.211,8.9
deepseek-reasoner,lens_ap_local,task_3,o3-mini-2025-01-31,9,8.333,0.866,9.0,7,9,0.289,7.768,8.899
deepseek-reasoner,lens_np,task_1,claude-3-7-sonnet-20250219,9,6.222,1.302,7.0,4,8,0.434,5.372,7.073
deepseek-reasoner,lens_np,task_1,deepseek-reasoner,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,lens_np,task_1,o3-mini-2025-01-31,9,8.111,1.269,8.0,6,10,0.423,7.282,8.94
deepseek-reasoner,lens_np,task_2,claude-3-7-sonnet-20250219,9,8.0,0.866,8.0,7,9,0.289,7.434,8.566
deepseek-reasoner,lens_np,task_2,deepseek-reasoner,9,8.333,0.866,9.0,7,9,0.289,7.768,8.899
deepseek-reasoner,lens_np,task_2,o3-mini-2025-01-31,9,6.778,1.563,7.0,4,9,0.521,5.756,7.799
deepseek-reasoner,lens_np,task_3,claude-3-7-sonnet-20250219,9,7.0,2.784,9.0,3,9,0.928,5.181,8.819
deepseek-reasoner,lens_np,task_3,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_np,task_3,o3-mini-2025-01-31,9,7.889,0.333,8.0,7,8,0.111,7.671,8.107
deepseek-reasoner,lens_np_global,task_1,claude-3-7-sonnet-20250219,9,6.333,2.646,7.0,3,9,0.882,4.605,8.062
deepseek-reasoner,lens_np_global,task_1,deepseek-reasoner,9,7.0,2.55,8.0,3,9,0.85,5.334,8.666
deepseek-reasoner,lens_np_global,task_1,o3-mini-2025-01-31,9,5.0,2.236,5.0,2,8,0.745,3.539,6.461
deepseek-reasoner,lens_np_global,task_2,claude-3-7-sonnet-20250219,9,8.556,0.527,9.0,8,9,0.176,8.211,8.9
deepseek-reasoner,lens_np_global,task_2,deepseek-reasoner,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_np_global,task_2,o3-mini-2025-01-31,9,7.222,0.972,8.0,6,8,0.324,6.587,7.857
deepseek-reasoner,lens_np_global,task_3,claude-3-7-sonnet-20250219,9,9.0,0.0,9.0,9,9,0.0,9.0,9.0
deepseek-reasoner,lens_np_global,task_3,deepseek-reasoner,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_np_global,task_3,o3-mini-2025-01-31,9,7.222,1.302,8.0,5,9,0.434,6.372,8.073
deepseek-reasoner,lens_np_global_local,task_1,claude-3-7-sonnet-20250219,9,5.0,3.0,3.0,3,9,1.0,3.04,6.96
deepseek-reasoner,lens_np_global_local,task_1,deepseek-reasoner,9,7.222,2.489,9.0,3,9,0.83,5.596,8.848
deepseek-reasoner,lens_np_global_local,task_1,o3-mini-2025-01-31,9,6.0,1.871,7.0,3,8,0.624,4.778,7.222
deepseek-reasoner,lens_np_global_local,task_2,claude-3-7-sonnet-20250219,9,8.444,0.726,9.0,7,9,0.242,7.97,8.919
deepseek-reasoner,lens_np_global_local,task_2,deepseek-reasoner,9,8.889,0.333,9.0,8,9,0.111,8.671,9.107
deepseek-reasoner,lens_np_global_local,task_2,o3-mini-2025-01-31,9,6.0,1.225,6.0,4,8,0.408,5.2,6.8
deepseek-reasoner,lens_np_global_local,task_3,claude-3-7-sonnet-20250219,9,8.444,0.882,9.0,7,9,0.294,7.868,9.021
deepseek-reasoner,lens_np_global_local,task_3,deepseek-reasoner,9,8.222,0.972,9.0,7,9,0.324,7.587,8.857
deepseek-reasoner,lens_np_global_local,task_3,o3-mini-2025-01-31,9,6.333,0.866,6.0,5,8,0.289,5.768,6.899
deepseek-reasoner,lens_np_local,task_1,claude-3-7-sonnet-20250219,9,6.111,2.028,7.0,3,8,0.676,4.786,7.436
deepseek-reasoner,lens_np_local,task_1,deepseek-reasoner,9,8.667,0.5,9.0,8,9,0.167,8.34,8.993
deepseek-reasoner,lens_np_local,task_1,o3-mini-2025-01-31,9,8.0,1.414,9.0,5,9,0.471,7.076,8.924
deepseek-reasoner,lens_np_local,task_2,claude-3-7-sonnet-20250219,9,8.333,0.866,9.0,7,9,0.289,7.768,8.899
deepseek-reasoner,lens_np_local,task_2,deepseek-reasoner,9,8.778,0.441,9.0,8,9,0.147,8.49,9.066
deepseek-reasoner,lens_np_local,task_2,o3-mini-2025-01-31,9,7.778,0.833,8.0,6,9,0.278,7.233,8.322
deepseek-reasoner,lens_np_local,task_3,claude-3-7-sonnet-20250219,9,7.444,0.726,7.0,7,9,0.242,6.97,7.919
deepseek-reasoner,lens_np_local,task_3,deepseek-reasoner,9,8.222,0.441,8.0,8,9,0.147,7.934,8.51
deepseek-reasoner,lens_np_local,task_3,o3-mini-2025-01-31,9,7.556,0.882,7.0,7,9,0.294,6.979,8.132
deepseek-reasoner,lens_single_cm,task_1,claude-3-7-sonnet-20250219,9,4.444,2.351,4.0,2,8,0.784,2.908,5.981
deepseek-reasoner,lens_single_cm,task_1,deepseek-reasoner,9,8.111,0.928,8.0,7,9,0.309,7.505,8.717
deepseek-reasoner,lens_single_cm,task_1,o3-mini-2025-01-31,9,7.556,2.186,8.0,4,10,0.729,6.127,8.984
deepseek-reasoner,lens_single_cm,task_2,claude-3-7-sonnet-20250219,9,5.0,2.598,5.0,2,8,0.866,3.303,6.697
deepseek-reasoner,lens_single_cm,task_2,deepseek-reasoner,9,7.333,0.866,7.0,6,9,0.289,6.768,7.899
deepseek-reasoner,lens_single_cm,task_2,o3-mini-2025-01-31,9,6.222,1.481,6.0,4,9,0.494,5.254,7.19
